country,iso3,year,indicator,indicator_code,value,error
Chile,CHL,2024.0,unemployment_pct,SL.UEM.TOTL.ZS,9.056,
Colombia,COL,2020.0,current_account_pct_gdp,BN.CAB.XOKA.GD.ZS,-3.42772945914236,
Colombia,COL,2021.0,current_account_pct_gdp,BN.CAB.XOKA.GD.ZS,-5.6351694946032,
Colombia,COL,2022.0,current_account_pct_gdp,BN.CAB.XOKA.GD.ZS,-6.03319158039541,
Colombia,COL,2023.0,current_account_pct_gdp,BN.CAB.XOKA.GD.ZS,-2.26135796371581,
Colombia,COL,2024.0,current_account_pct_gdp,BN.CAB.XOKA.GD.ZS,-1.64274510323396,
Colombia,COL,2020.0,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,-7.18591413760859,
Colombia,COL,2021.0,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,10.8011981904878,
Colombia,COL,2022.0,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,7.32827729427979,
Colombia,COL,2023.0,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,0.712380031974334,
Colombia,COL,2024.0,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,1.5983315366523,
Colombia,COL,2020.0,gdp_per_capita_usd,NY.GDP.PCAP.CD,5339.68711357943,
Colombia,COL,2021.0,gdp_per_capita_usd,NY.GDP.PCAP.CD,6222.62164397614,
Colombia,COL,2022.0,gdp_per_capita_usd,NY.GDP.PCAP.CD,6680.44506854481,
Colombia,COL,2023.0,gdp_per_capita_usd,NY.GDP.PCAP.CD,7000.83660501046,
Colombia,COL,2024.0,gdp_per_capita_usd,NY.GDP.PCAP.CD,7919.20886825345,
Colombia,COL,2020.0,gov_debt_pct_gdp,GC.DOD.TOTL.GD.ZS,91.1566069420143,
Colombia,COL,2021.0,gov_debt_pct_gdp,GC.DOD.TOTL.GD.ZS,80.4259616026375,
Colombia,COL,2022.0,gov_debt_pct_gdp,GC.DOD.TOTL.GD.ZS,70.2611600056829,
Colombia,COL,2023.0,gov_debt_pct_gdp,GC.DOD.TOTL.GD.ZS,71.3312731846403,
Colombia,COL,2024.0,gov_debt_pct_gdp,GC.DOD.TOTL.GD.ZS,71.483126167997,
Colombia,COL,2020.0,inflation_cpi_pct,FP.CPI.TOTL.ZG,2.52663500084706,
Colombia,COL,2021.0,inflation_cpi_pct,FP.CPI.TOTL.ZG,3.49505757399448,
Colombia,COL,2022.0,inflation_cpi_pct,FP.CPI.TOTL.ZG,10.1772313546166,
Colombia,COL,2023.0,inflation_cpi_pct,FP.CPI.TOTL.ZG,11.7359044948689,
Colombia,COL,2024.0,inflation_cpi_pct,FP.CPI.TOTL.ZG,6.60908593728228,
Colombia,COL,2020.0,unemployment_pct,SL.UEM.TOTL.ZS,15.983,
Colombia,COL,2021.0,unemployment_pct,SL.UEM.TOTL.ZS,13.898,
Colombia,COL,2022.0,unemployment_pct,SL.UEM.TOTL.ZS,10.547,
Colombia,COL,2023.0,unemployment_pct,SL.UEM.TOTL.ZS,9.594,
Colombia,COL,2024.0,unemployment_pct,SL.UEM.TOTL.ZS,9.608,
Costa Rica,CRI,2020.0,current_account_pct_gdp,BN.CAB.XOKA.GD.ZS,-1.0451399398849,
Costa Rica,CRI,2021.0,current_account_pct_gdp,BN.CAB.XOKA.GD.ZS,-3.17593347841434,
Costa Rica,CRI,2022.0,current_account_pct_gdp,BN.CAB.XOKA.GD.ZS,-3.28139915247022,
Costa Rica,CRI,2023.0,current_account_pct_gdp,BN.CAB.XOKA.GD.ZS,-1.4326435676152,
Costa Rica,CRI,2024.0,current_account_pct_gdp,BN.CAB.XOKA.GD.ZS,-1.30974019221641,
Costa Rica,CRI,2020.0,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,-4.27335432161462,
Costa Rica,CRI,2021.0,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,7.93576224743147,
Costa Rica,CRI,2022.0,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,4.55149177958398,
Costa Rica,CRI,2023.0,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,5.11192183224598,
Costa Rica,CRI,2024.0,gdp_growth_pct,NY.GDP.MKTP.KD.ZG,4.32122429646145,
Costa Rica,CRI,2020.0,gdp_per_capita_usd,NY.GDP.PCAP.CD,12394.0493969492,
Costa Rica,CRI,2021.0,gdp_per_capita_usd,NY.GDP.PCAP.CD,12838.1185358931,
Costa Rica,CRI,2022.0,gdp_per_capita_usd,NY.GDP.PCAP.CD,13625.9008491328,
Costa Rica,CRI,2023.0,gdp_per_capita_usd,NY.GDP.PCAP.CD,16942.0268119375,
