country,iso3,gdp_per_capita_usd_2020,gdp_per_capita_usd_2024,gdp_per_capita_usd_change,gdp_growth_pct_2020,gdp_growth_pct_2024,gdp_growth_pct_change,unemployment_pct_2020,unemployment_pct_2024,unemployment_pct_change,inflation_cpi_pct_2020,inflation_cpi_pct_2024,inflation_cpi_pct_change,gov_debt_pct_gdp_2020,gov_debt_pct_gdp_2024,gov_debt_pct_gdp_change,current_account_pct_gdp_2020,current_account_pct_gdp_2024,current_account_pct_gdp_change
Poland,POL,16150.9304813473,25103.565661423,8952.635180075698,-2.03556882399977,3.02841630700273,5.0639851310025,3.155,2.472,-0.6829999999999998,3.37446972618589,3.7842600751287,0.40979034894280986,,,,2.39835922164097,0.30454349270969,-2.09381572893128
Portugal,PRT,22299.4044062173,29292.242104753,6992.837698535699,,,,,,,-0.0124383299575305,2.41613187791884,2.4285702078763705,,,,-0.629832722737581,2.07776282936737,2.7075955521049506
Slovak Republic,SVK,19735.4858280801,25992.6748502048,6257.189022124698,-2.58551241733207,1.93867445549446,4.5241868728265295,6.719,5.234,-1.4850000000000003,1.93694126694223,2.75760909424272,0.8206678273004899,,,,-0.437071238574067,-4.61427189349135,-4.177200654917283
Slovenia,SVN,25392.0651093612,34301.0318686594,8908.966759298197,-4.08500094942896,1.73139722479493,5.81639817422389,4.971,3.357,-1.6139999999999999,-0.05485681576061,1.96562656432512,2.02048338008573,,,,7.67395367082141,4.55086826535468,-3.12308540546673
Spain,ESP,27233.9426461608,35326.7683069278,8092.825660766997,-10.9400706350371,3.45525405630191,14.39532469133901,15.532,11.394,-4.138,-0.322753017299739,2.77417826534772,3.096931282647459,138.955245507052,,,0.819280213926566,3.18327391138732,2.363993697460754
Sweden,SWE,52568.5726980146,57117.4877440616,4548.915046046997,-1.93379704032216,0.820071806703865,2.753868847026025,8.291,8.528,0.2370000000000001,0.497367318853572,2.83581658224034,2.3384492633867677,,,,5.60615176450581,5.92462158549718,0.31846982099136945
Switzerland,CHE,85897.7843338323,103998.186685604,18100.4023517717,-2.14173712008038,1.30233332541106,3.44407044549144,4.817,4.11,-0.7069999999999999,-0.725874933313384,1.06234041976595,1.788215353079334,20.8521076698005,,,0.447364685859183,7.68909869633693,7.241734010477747
Türkiye,TUR,8798.11791709313,15892.7157287241,7094.597811630971,1.80306247087255,3.3276230893799,1.52456061850735,13.148,8.449,-4.699,12.2789574462574,58.5064507300343,46.2274932837769,41.0396523800978,26.6192344843666,-14.420417895731198,-4.22230197946184,-0.749968489565428,3.472333489896412
United Kingdom,GBR,40812.6794663879,53246.3676145108,12433.6881481229,-10.047896637362,1.1264226705118,11.1743193078738,4.472,4.111,-0.36100000000000065,0.989486703772491,3.2715729463592,2.2820862425867086,194.682828796265,131.073062954793,-63.60976584147201,-2.92883387550298,-2.18793597246208,0.7408979030408998
United States,USA,63515.9491807833,84534.0407841548,21018.091603371504,-2.16302914036166,2.79300127716779,4.956030417529449,8.055,4.106,-3.949,1.23358439630629,2.94952520485207,1.71594080854578,126.432892675138,118.110809413059,-8.322083262079005,-2.81809426941685,-4.12262463415284,-1.3045303647359896
