country,iso3,year,gdp_per_capita_usd,gdp_growth_pct,unemployment_pct,inflation_cpi_pct,gov_debt_pct_gdp,current_account_pct_gdp
Israel,ISR,2023.0,52003.7200729997,1.82652049482384,3.596,4.22522603168918,,3.06904948003165
Israel,ISR,2024.0,54176.6844383302,0.871968424377442,3.15,3.07480889805025,,2.86378146024895
Italy,ITA,2020.0,32091.4866621366,-8.86822122185345,9.164,-0.13770757391651,,3.9369545603398
Italy,ITA,2021.0,36852.5425414951,8.93106210800055,9.497,1.87378325762481,,2.03966459401318
Italy,ITA,2022.0,35653.9042103495,4.82117669913565,8.069,8.20128991161718,,-1.82962143546248
Italy,ITA,2023.0,39277.0838783918,0.975694840127005,7.627,5.62219442195901,,0.224243443277791
Italy,ITA,2024.0,40385.3413957669,0.692676948440536,6.778,0.982373023061417,,1.08253400174467
Japan,JPN,2020.0,40028.7341726762,-4.16876457146743,2.809,-0.024995834027731,,2.96847858242383
Japan,JPN,2021.0,40094.5599795288,2.69657404187188,2.828,-0.233352779398264,,3.89996604353178
Japan,JPN,2022.0,34065.6438962526,0.941998775483285,2.6,2.49770278172255,,2.11637961936876
Japan,JPN,2023.0,33836.1756271617,1.47503481053384,2.6,3.26813365933163,,3.71672795030716
Japan,JPN,2024.0,32487.0778047567,0.104309021773304,2.563,2.73853681635241,,4.82314808005734
Korea,KOR,2020.0,33645.7719545073,-0.700242317542106,3.931,0.537288023411737,43.7757991738024,4.35201499780346
Korea,KOR,2021.0,37518.4635305697,4.61296795454287,3.639,2.49833333333339,45.8328934496037,4.38797327644752
Korea,KOR,2022.0,34822.4048404971,2.72756456708991,2.857,5.08951365062842,47.6110651969645,1.43543011179305
Korea,KOR,2023.0,35674.095995632,1.58301467403629,2.675,3.5974562502901,48.5543799498432,1.77914588984233
Korea,KOR,2024.0,36238.639908315,2.00361101838986,2.604,2.32174328643542,,5.28119455498379
Latvia,LVA,,,,,,,
Latvia,LVA,2020.0,17564.2321549354,,,0.219064904842156,,3.09270300452461
Latvia,LVA,2021.0,20261.8887788916,,,3.27582937431156,,-4.13643816293471
Latvia,LVA,2022.0,20221.103686109,,,17.3102830198815,,-5.47922926578536
Latvia,LVA,2023.0,22710.2637544197,,,8.93804623316637,,-3.88711545837933
Latvia,LVA,2024.0,23409.0845154775,,,1.26579885828729,,-1.57465157670388
Lithuania,LTU,2020.0,20428.6478157394,0.0428158336981426,8.487,1.19989444983569,,7.22470104088843
Lithuania,LTU,2021.0,23870.4594851722,6.38001606179873,7.112,4.68354420903453,,1.46940668521304
Lithuania,LTU,2022.0,25085.784063499,2.53752574011534,5.955,19.7050461518394,,-6.084973892203
Lithuania,LTU,2023.0,27786.0057829276,0.342262716277261,6.841,9.11731962390475,,1.10087710830163
Lithuania,LTU,2024.0,29384.0189598663,2.77263124530285,7.504,0.715735835228723,,3.26568276980857
Luxembourg,LUX,2020.0,116860.02817236,-0.510051634039826,6.766,0.819957302127036,,4.87511550397285
Luxembourg,LUX,2021.0,134965.815442152,6.9297342584233,5.571,2.52692009066166,,4.99186571107894
